chrom	start	end	feature_id	study_id	protocol
chr1	760000	5920000	chr1:760000-5920000	GSE84660	Hi-C
chr1	6640000	7640000	chr1:6640000-7640000	GSE84660	Hi-C
chr1	7960000	8360000	chr1:7960000-8360000	GSE84660	Hi-C
chr1	8360000	8880000	chr1:8360000-8880000	GSE84660	Hi-C
chr1	9280000	9600000	chr1:9280000-9600000	GSE84660	Hi-C
chr1	9720000	10360000	chr1:9720000-10360000	GSE84660	Hi-C
chr1	10520000	11000000	chr1:10520000-11000000	GSE84660	Hi-C
chr1	11040000	11720000	chr1:11040000-11720000	GSE84660	Hi-C
chr1	12200000	12680000	chr1:12200000-12680000	GSE84660	Hi-C
chr1	12680000	13960000	chr1:12680000-13960000	GSE84660	Hi-C
chr1	13960000	15520000	chr1:13960000-15520000	GSE84660	Hi-C
chr1	15520000	15760000	chr1:15520000-15760000	GSE84660	Hi-C
chr1	15800000	16400000	chr1:15800000-16400000	GSE84660	Hi-C
chr1	16960000	17440000	chr1:16960000-17440000	GSE84660	Hi-C
chr1	17440000	18560000	chr1:17440000-18560000	GSE84660	Hi-C
chr1	18560000	18880000	chr1:18560000-18880000	GSE84660	Hi-C
chr1	18880000	19240000	chr1:18880000-19240000	GSE84660	Hi-C
chr1	19280000	19680000	chr1:19280000-19680000	GSE84660	Hi-C
chr1	19680000	20480000	chr1:19680000-20480000	GSE84660	Hi-C
chr1	20680000	21200000	chr1:20680000-21200000	GSE84660	Hi-C
chr1	21200000	22000000	chr1:21200000-22000000	GSE84660	Hi-C
chr1	22040000	22960000	chr1:22040000-22960000	GSE84660	Hi-C
chr1	22960000	23720000	chr1:22960000-23720000	GSE84660	Hi-C
chr1	23760000	24840000	chr1:23760000-24840000	GSE84660	Hi-C
chr1	24840000	25240000	chr1:24840000-25240000	GSE84660	Hi-C
chr1	25320000	25800000	chr1:25320000-25800000	GSE84660	Hi-C
chr1	25800000	26040000	chr1:25800000-26040000	GSE84660	Hi-C
chr1	26040000	26480000	chr1:26040000-26480000	GSE84660	Hi-C
chr1	26480000	26920000	chr1:26480000-26920000	GSE84660	Hi-C
chr1	26920000	27640000	chr1:26920000-27640000	GSE84660	Hi-C
chr1	27800000	28520000	chr1:27800000-28520000	GSE84660	Hi-C
